Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Min Price
0.03,0.97,0.53,1169132.859,23500000,0.001973385
0.03,0.97,0.54,1215048.22,23000000,0.002079311
0.03,0.97,0.55,1262521.805,22500000,0.002192131
0.03,0.97,0.56,1311616.331,22000000,0.002312407
0.03,0.97,0.57,1362397.745,21500000,0.002440754
0.03,0.97,0.58,1414935.443,21000000,0.002577855
0.03,0.97,0.59,1469302.518,20500000,0.002724463
0.03,0.97,0.6,1525576.018,20000000,0.002881412
0.03,0.97,0.61,1583837.243,19500000,0.003049629
0.03,0.97,0.62,1644172.062,19000000,0.003230148
0.03,0.97,0.63,1706671.261,18500000,0.00342412
0.03,0.97,0.64,1771430.937,18000000,0.003632836
0.03,0.97,0.65,1838552.924,17500000,0.003857744
0.03,0.97,0.66,1908145.272,17000000,0.004100472
0.03,0.97,0.67,1980322.779,16500000,0.004362863
0.03,0.97,0.68,2055207.583,16000000,0.004646999
0.03,0.97,0.69,2132929.833,15500000,0.004955253
0.03,0.97,0.7,2213628.433,15000000,0.005290327
0.03,0.97,0.71,2297451.896,14500000,0.005655323
0.03,0.97,0.72,2384559.299,14000000,0.006053804
0.03,0.97,0.73,2475121.386,13500000,0.006489893
0.03,0.97,0.74,2569321.816,13000000,0.006968377
0.03,0.97,0.75,2667358.615,12500000,0.007494844
0.03,0.97,0.76,2769445.845,12000000,0.00807586
0.03,0.97,0.77,2875815.553,11500000,0.008719179
0.03,0.97,0.78,2986720.055,11000000,0.009434026
0.03,0.97,0.79,3102434.637,10500000,0.010231451
0.03,0.97,0.8,3223260.759,10000000,0.011124799
0.03,0.97,0.81,3349529.911,9500000,0.012130327
0.03,0.97,0.82,3481608.277,9000000,0.013268026
0.03,0.97,0.83,3619902.443,8500000,0.014562746
0.03,0.97,0.84,3764866.461,8000000,0.016045739
0.03,0.97,0.85,3917010.709,7500000,0.017756834
0.03,0.97,0.86,4076913.143,7000000,0.019747555
0.03,0.97,0.87,4245233.83,6500000,0.022085689
0.03,0.97,0.88,4422734.058,6000000,0.024862171
0.03,0.97,0.89,4610301.962,5500000,0.028201765
0.03,0.97,0.9,4808987.722,5000000,0.032280214
0.03,0.97,0.91,5020053.227,4500000,0.037352945
0.03,0.97,0.92,5245044.399,4000000,0.043805509
0.03,0.97,0.93,5485900.586,3500000,0.052247648
0.03,0.97,0.94,5745127.699,3000000,0.063702272
0.03,0.97,0.95,6026088.023,2500000,0.080023147
0.03,0.97,0.96,6333520.674,2000000,0.104944385
0.03,0.97,0.97,6674565.62,1500000,0.147246832
0.03,0.97,0.98,7061042.853,1000000,0.233512893
0.03,0.97,0.99,7515503.851,500000,0.498454688
